"",".ale","Tonnage","cabins"
"292",-0.0264137255524442,76,10.5
"293",-0.0165119107376322,77.713,10.5
"294",-0.0205994940709669,85,10.5
"295",-0.0179076552954574,88.5,10.5
"296",-0.0208459886287925,91,10.5
"297",0.0156091780378694,101.353,10.5
"298",-0.0470365016158202,110,10.5
"299",-0.171665668282506,113,10.5
"300",-0.0679136754253599,138,10.5
"301",-0.55469193503374,2.329,10.94
"302",-0.624076435033751,10,10.94
"303",-0.596198418664716,22.08,10.94
"304",-0.550530027791713,30.277,10.94
"305",-0.481186361125052,35.143,10.94
"306",-0.351661347236161,46,10.94
"307",-0.198256576402824,51.004,10.94
"308",-0.0387790615218629,55.451,10.94
"309",0.0279936319305202,63,10.94
"310",0.0879438768284839,70.367,10.94
"311",0.0089889879396149,70.606,10.94
"312",-0.0430613731714932,76,10.94
"313",-0.032123558356684,77.713,10.94
"314",-0.0219168083566811,85,10.94
"315",-0.0122207695811717,88.5,10.94
"316",-0.0314517695811699,91,10.94
"317",0.0174778732759721,101.353,10.94
"318",-0.0326933301872375,110,10.94
"319",-0.0904341635205829,113,10.94
"320",-0.0166404087586754,138,10.94
"321",-0.611486637414714,2.329,11.97
"322",-0.676762137414726,10,11.97
"323",-0.644775121045692,22.08,11.97
"324",-0.575182563506021,30.277,11.97
"325",-0.481914730172692,35.143,11.97
"326",-0.328465549617134,46,11.97
"327",-0.174446112117126,51.004,11.97
"328",-0.0143539305694937,55.451,11.97
"329",0.0530334295495603,63,11.97
"330",0.128937674447525,70.367,11.97
"331",0.0659367855586564,70.606,11.97
"332",0.029840424447549,76,11.97
"333",0.0567322392623588,77.713,11.97
"334",-0.0261890107376366,85,11.97
"335",-0.109620971962125,88.5,11.97
"336",-0.0727929719621212,91,11.97
"337",-0.0113888529144992,101.353,11.97
"338",-0.0490855801872287,110,11.97
"339",-0.039938080187234,113,11.97
"340",0.00389743647943509,138,11.97
"341",-0.83261888344648,2.329,13.37
"342",-0.893785383446492,10,13.37
"343",-0.83787420041079,22.08,13.37
"344",-0.744357476204452,30.277,13.37
"345",-0.627165476204455,35.143,13.37
"346",-0.473101628982226,46,13.37
"347",-0.318467524815548,51.004,13.37
"348",-0.142421343267915,55.451,13.37
"349",-0.05907998314886,63,13.37
"350",0.0327782617491052,70.367,13.37
"351",-0.0142686271397625,70.606,13.37
"352",-0.0344109882508692,76,13.37
"353",0.00843482656394136,77.713,13.37
"354",-0.0771997567693883,85,13.37
"355",-0.163345051327211,88.5,13.37
"356",-0.129230384660541,91,13.37
"357",-0.0777055989462498,101.353,13.37
"358",-0.023026826218973,110,13.37
"359",0.0530090071143619,113,13.37
"360",0.0668862856857926,138,13.37
"361",-0.794382407256001,2.329,14.87
"362",-0.831624740589346,10,14.87
"363",-0.751789390886977,22.08,14.87
"364",-0.657658000013967,30.277,14.87
"365",-0.5398513333473,35.143,14.87
"366",-0.36983348612507,46,14.87
"367",-0.199245381958391,51.004,14.87
"368",-0.00724520041075725,55.451,14.87
"369",0.0920501597082982,63,14.87
"370",0.199862404606264,70.367,14.87
"371",0.168769515717397,70.606,14.87
"372",0.145913821272956,76,14.87
"373",0.186046302754432,77.713,14.87
"374",0.0976983860877685,85,14.87
"375",0.00883975819661111,88.5,14.87
"376",0.0402410915299469,91,14.87
"377",-0.0151339560891028,101.353,14.87
"378",-0.0673550166951664,110,14.87
"379",-0.0121235166951659,113,14.87
"380",-0.0289584762189749,138,14.87
"381",-0.790597073922699,2.329,15.57
"382",-0.803915240589376,10,15.57
"383",-0.700155724220339,22.08,15.57
"384",-0.590070333347329,30.277,15.57
"385",-0.45630966668066,35.143,15.57
"386",-0.27033781945843,46,15.57
"387",-0.0837957152917501,51.004,15.57
"388",0.124158466255884,55.451,15.57
"389",0.23940782637494,63,15.57
"390",0.344506737939572,70.367,15.57
"391",0.310700515717371,70.606,15.57
"392",0.285131487939596,76,15.57
"393",0.322550636087737,77.713,15.57
"394",0.231489386087739,85,15.57
"395",0.164398424863256,88.5,15.57
"396",0.217567424863266,91,15.57
"397",0.183960043910891,101.353,15.57
"398",0.153506649971502,110,15.57
"399",-0.0525418500284984,113,15.57
"400",-0.100089047647547,138,15.57
